dict,dim_id,dim_name,convention_question,candidate_options,evidence,examples,VALUE,confidence,notes
AP90,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 184 (M-form 4+, n/m-form 4+)",M-root: aMS aMs aMh aMhu  ||  n/m-root: an anaH anas anA,,,
AP90,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 222, nom-A 89, -ar/-R 16",stem-f: aMSayitf akartf aMgIkf  |  nom-A: akalkatA akAmatA akiMcanatA  |  -ar/R: aticar aDicar anucar,,,
AP90,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 20, -yas 19",-vas: acikitvas ajavas atravas adASvas  ||  -yas: aRIyas atavyas ativayas advayas,,,
CAE,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.09 (M+stop 172 vs homorganic 1730),M: akiMcana akiMcitkurvARa aNgasaMtApa atimaDyaMdina  ||  homorg: aMSukAnta aMSumant akaRwaka akandasamutTita,,,
CAE,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 20, -vat 10, -mat 3",-at: akzipat at adadat  |  -vat: ayaTAvat Atmavat Adityavat  |  -mat: ASumat gavIDumat camat,,,
CAE,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 174 (M-form 4+, n/m-form 4+)",M-root: aMSa aMSu aMsa aMh  ||  n/m-root: agni ajma an ana,,,
CAE,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 173, nom-A 102, -ar/-R 10",stem-f: akartf aGaviGAtakartf aNgIkf  |  nom-A: akulatA aktA acintA  |  -ar/R: antar aBisvar ahar,,,
CAE,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 14, -yas 10",-vas: anASvas aBizwiSavas avas asAmiSavas  ||  -yas: advayas ayas AtmaSreyas kfzRAyas,,,
MD,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.099 (M+stop 144 vs homorganic 1311),M: akiMcana akiMcijjYa akiMcitkara akftasaMkalpa  ||  homorg: aMSukAnta akaRwaka akaRWa akampita,,,
MD,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 90, -vat 84, -mat 24",-at: akzat akzipat agaRayat  |  -vat: akzaRvat aNkuravat ajIvat  |  -mat: aMSumat aNgavAkpARimat atimatimat,,,
MD,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 362 (M-form 4+, n/m-form 4+)",M-root: aMSa aMSu aMsa jaMh  ||  n/m-root: akna agan agni ajma,,,
MD,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 227, nom-A 76, -ar/-R 15",stem-f: akartf agnisAtkf aGaviGAtakartf  |  nom-A: akalkatA akAmatA akopitA  |  -ar/R: ajIgar antar ahar,,,
MD,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 19, -yas 24",-vas: anASvas anUzivas avas avidvas  ||  -yas: acaramavayas aRIyas atigarIyas adByas,,,
MW,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.037 (M+stop 81 vs homorganic 2091),M: akAmasaMjYapana akiMcid akzarasaMGAta akzisaMtarjana  ||  homorg: aMhriskanDa aMholiNga akaRwaka akaRWa,,,
MW,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 95, -vat 80, -mat 17",-at: akarizyat akutsayat akupyat  |  -vat: aMSavat akapIvat akzavat  |  -mat: aMSumat akzimat agnimat,,,
MW,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 178 (M-form 4+, n/m-form 4+)",M-root: aMS aMSa aMSu aMs  ||  n/m-root: agnA agni ajma atna,,,
MW,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 157, nom-A 161, -ar/-R 22",stem-f: aMSIkf aMSuBartf akartf  |  nom-A: aMSitA akalkatA akAmatA  |  -ar/R: acCAcar atikzar aticar,,,
MW,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 30, -yas 20",-vas: acakfvas acikitvas ajaGnivas ajavas  ||  -yas: ajApayas ajyAyas aRIyas atavyas,,,
SHS,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.011 (M+stop 21 vs homorganic 1911),M: antaHsaMjYA arGasaMKyApana arTasaMgraha asaMKya  ||  homorg: aMhriskanDa akaRwaka akampita akARqa,,,
SHS,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 44, -vat 62, -mat 20",-at: aMSayat anyat ayugapat  |  -vat: akzavat aGavat atraBavat  |  -mat: aMSumat agnimat abudDimat,,,
SHS,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 93 (M-form 4+, n/m-form 4+)",M-root: aMSa aMSu aMsa oM  ||  n/m-root: agni aGna atnu ana,,,
SHS,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 80, nom-A 200, -ar/-R 2",stem-f: aMSayitf aMSuBartf acalaBrAtf  |  nom-A: akiYcanatA akftajYatA akzamatA  |  -ar/R: antar aharahar,,,
SHS,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 6, -yas 9",-vas: anASvas avidvas azwaSravas Iyivas  ||  -yas: aRIyas ayas arTagarIyas alpavayas,,,
AP,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.075 (M+stop 147 vs homorganic 1806),M: akiMcana akiMcanam akiMcanatA akiMcaniman  ||  homorg: aMSakuRqalI aMhriskanDaH akampana akampanaH,,,
AP,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 50, -vat 43, -mat 15",-at: akzipat akziyat aNkUyat  |  -vat: aMhasvat akzaRvat agnicitvat  |  -mat: aMSumat agnimat anAdimat,,,
AP,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 65 (M-form 4+, n/m-form 4+)",M-root: aMS aMs aMsO aMh  ||  n/m-root: akam aGam an anaH,,,
AP,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 125, nom-A 115, -ar/-R 11",stem-f: aMSayitf aMSuBartf akartf  |  nom-A: akartftA akalkatA akAmatA  |  -ar/R: aticar aDicar anucar,,,
AP,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 17, -yas 16",-vas: akziSravas acikitvas ajavas atravas  ||  -yas: aRIyas atavyas ativayas advayas,,,
BOR,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.0 (M+stop 0 vs homorganic 1961),M:   ||  homorg: abandon abandoned abandonment abasement,,,
BOR,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 75, -vat 1, -mat 0",-at: admitting that afloat aristocrat  |  -vat: cravat  |  -mat: ,,,
BOR,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 234 (M-form 0+, n/m-form 4+)",M-root:   ||  n/m-root: acme aim akin alms,,,
BOR,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 94, nom-A 0, -ar/-R 82",stem-f: account of acquit oneself apprise of  |  nom-A:   |  -ar/R: afar altar angular,,,
BOR,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 1, -yas 0",-vas: canvas  ||  -yas: ,,,
AE,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.0 (M+stop 0 vs homorganic 1633),M:   ||  homorg: abandon abound abscond absent,,,
AE,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 58, -vat 2, -mat 1",-at: acrobat afloat at  |  -vat: cravat vat  |  -mat: mat,,,
AE,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 536 (M-form 0+, n/m-form 4+)",M-root:   ||  n/m-root: acme aim akin alms,,,
AE,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 76, nom-A 0, -ar/-R 125",stem-f: aloof bailiff beef  |  nom-A:   |  -ar/R: acicular afar ajar,,,
AE,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 1, -yas 0",-vas: canvas  ||  -yas: ,,,
BUR,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.003 (M+stop 4 vs homorganic 1370),M: atisaMDAna anamitaMpaca aBisaMprekze avaSaMgama  ||  homorg: akaRwaka akampita akiYcana akrAnta,,,
BUR,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 54, -vat 25, -mat 8",-at: ajAnat at atyaSnat  |  -vat: atattvArTavat antavat abruvat  |  -mat: asmat aMSumat Ayuzmat,,,
BUR,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 441 (M-form 4+, n/m-form 4+)",M-root: aMS aMSa aMSu aMs  ||  n/m-root: agni atnu an anas,,,
BUR,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 78, nom-A 21, -ar/-R 9",stem-f: adAtf astf ASitf  |  nom-A: atiSaktitA attA apdevatA  |  -ar/R: antar ahar kmar,,,
BUR,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 19, -yas 12",-vas: alavas avidvas asavas ivas  ||  -yas: aRIyas ayas alpIyas aSreyas,,,
STC,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.124 (M+stop 185 vs homorganic 1312),M: akiMcana akiMcid awwasaMGawwa atimaDyaMdina  ||  homorg: aMSumant akaRwaka akaRWa akampa,,,
STC,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 33, -vat 12, -mat 2",-at: ajagat atipat atyAyat  |  -vat: adfzwavat asmadvat Atmavat  |  -mat: camat jAjamat,,,
STC,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 252 (M-form 4+, n/m-form 4+)",M-root: aMSa aMSu aMsa waM  ||  n/m-root: agni an ana anas,,,
