"Book
No.","Citation
count","LS entry
(code)","Total
pages","Literary Source
(Descriptive)",Index Status,"Reserved/
Indexed by",Work started,Work finished,"Directory (index)
[./sanskrit-lexicon/]","Index
posting","Directory (scan pages)
[./sanskrit-lexicon-scans/]","Public
Link","S.
No.",
*18,1865.0,HĀR.,- - -,(Same book as 16 above) HĀRĀVALĪ 1807 Calc. ed.,done,@OFar0101,2025-02-17 00:00:00,2025-02-26 00:00:00,PWG/issues/105,2025-02-26 00:00:00,medini,2025-03-09 00:00:00,16.0,
27.0,5159.0,HALĀY.,417.0,HALĀYUDHA,done,@angalinde,2025-03-03 00:00:00,2025-03-09 00:00:00,PWG/issues/121,2025-03-09 00:00:00,armh2,2025-03-12 00:00:00,17.0,
2.0,9174.0,VARĀH. BṚH. S.,673.0,BRIHATSAMHITA,done,@OFar0101,2025-01-29 00:00:00,2025-02-07 00:00:00,PWG/issues/92,2025-02-13 00:00:00,brihatsam,2025-03-13 00:00:00,18.0,
25.0,5436.0,MĀRK. P.,693.0,MĀRKĀṆḌEYAPURĀṆA,done,@OFar0101,2025-02-27 00:00:00,2025-03-10 00:00:00,PWG/issues/122,2025-03-10 00:00:00,markandeyapurana,2025-03-17 00:00:00,19.0,
15a,9781.0,H. an.,377.0,HEMACANDRA'S ANEKĀRTHASAM̃GRAHA 1807 Calc. ed.,done,@IrinaKonstant,2025-03-04 00:00:00,2025-03-09 00:00:00,PWG/issues/123,2025-03-10 00:00:00,anekarthasamgraha,2025-03-18 00:00:00,20.0,
*15b,1797.0,an.,- - -,(Same book as 15a above) name in short-form,NR/ alt. name,@IrinaKonstant,2025-03-04 00:00:00,2025-03-09 00:00:00,PWG/issues/123,2025-03-10 00:00:00,anekarthasamgraha,2025-03-18 00:00:00,21.0,
24.0,5500.0,ŚĀK.,427.0,ŚĀKUNTALA Bohtlingk ed.,done,@grigoriyt1,,2025-03-21 00:00:00,PWG/issues/125,2025-03-21 00:00:00,shakuntala,2025-03-22 00:00:00,22.0,
30.0,2275.0,BHAG.,225.0,BHAGAVADGĪTĀ 1823 Schlegel ed.,done,@IrinaKonstant,2025-03-21 00:00:00,2025-03-22 00:00:00,PWG/issues/129,2025-03-22 00:00:00,bhagavadgita,2025-03-31 00:00:00,23.0,
31a,- - -,R. (Bomb.) vol.1,702.0,RĀMĀYAṆA (Bomb. ed.) 1859 vol. i,done,@IrinaKonstant,2025-03-24 00:00:00,2025-03-27 00:00:00,PWG/issues/75,2025-03-27 00:00:00,ramayanabom,2025-04-04 00:00:00,24.0,
31b,- - -,R. (Bomb.) vol.2,751.0,RĀMĀYAṆA (Bomb. ed.) 1859 vol. ii,done,@angalinde,2025-03-24 00:00:00,2025-03-29 00:00:00,PWG/issues/75,2025-03-29 00:00:00,ramayanabom,2025-04-04 00:00:00,25.0,
31c,- - -,R. (Bomb.) vol.3,818.0,RĀMĀYAṆA (Bomb. ed.) 1859 vol. iii,done,@Azanuka2412,2025-03-24 00:00:00,2025-03-27 00:00:00,PWG/issues/75,2025-03-27 00:00:00,ramayanabom,2025-04-04 00:00:00,26.0,
3.0,8170.0,PAÑCAT.,289.0,PAÑCATANTRA 1848 Kosegarten ed.,done,@grigoriyt1,,2025-03-28 00:00:00,PWG/issues/86,2025-03-28 00:00:00,pantankose,2025-04-07 00:00:00,27.0,
23.0,6078.0,★VS.,1098.0,VĀJASANEYISAM̃HITĀ,done,@grigoriyt1,,2025-03-11 00:00:00,PWG/issues/124,2025-03-11 00:00:00,vajasasa,2025-04-11 00:00:00,28.0,
26.0,5387.0,★TS. (2 vol.s),846.0,TAITTIRĪYASAM̃HITĀ,done,@OFar0101,2025-03-10 00:00:00,2025-04-01 00:00:00,PWG/issues/134,2025-04-01 00:00:00,taittiriyas,2025-04-14 00:00:00,29.0,
1b,- - -,RAGH. (Calc. ed.),655.0,RAGHUVAM̃SA 1832 Calc. ed.,done,@angalinde,2025-04-08 00:00:00,2025-04-12 00:00:00,PWG/issues/109,2025-04-12 00:00:00,raghuvamsacalc,2025-04-16 00:00:00,30.0,
19.0,7784.0,RĀJA-TAR.,599.0,RĀJATARAṄGIṆĪ,done,@sofia28000,2025-02-25 00:00:00,2025-04-01 00:00:00,PWG/issues/135,2025-04-02 00:00:00,rAjatar,2025-04-25 00:00:00,31.0,
43.0,2561.0,BHAṬṬ. (2 vol.s),1456.0,BHAṬṬIKĀVYA 1828 Calc. ed.,done,@angalinde,2025-04-15 00:00:00,2025-04-23 00:00:00,PWG/issues/143,2025-04-23 00:00:00,bhattikavya,2025-04-27 00:00:00,32.0,
21.0,6734.0,★KĀTY. ŚR.,1168.0,KĀTYĀYANA'S ŚRAUTASŪTRĀṆI,done,@AnnaRybakovaT,2025-03-28 00:00:00,2025-04-07 00:00:00,PWG/issues/136,2025-04-07 00:00:00,katyasr,2025-05-07 00:00:00,33.0,
39.0,2929.0,★TBR. (3 vol.s),2420.0,TAITTIRĪYABRĀHMAṆA,done,@OFar0101,2025-04-09 00:00:00,2025-04-25 00:00:00,PWG/issues/144,2025-04-25 00:00:00,taittiriyabr,2025-05-07 00:00:00,34.0,
44.0,2510.0,KUMĀRAS.,159.0,KUMĀRASAM̃BHAVA,done,@OFar0101,,2025-05-07 00:00:00,PWG/issues/146,2025-05-07 00:00:00,kumaras,2025-05-13 00:00:00,35.0,
69.0,1076.0,MĀLAV.,128.0,MĀLAVIKĀGNIMITRA,done,@OFar0101,,2025-05-08 00:00:00,PWG/issues/149,2025-05-08 00:00:00,malavikagni,2025-05-18 00:00:00,36.0,
50.0,2020.0,MEGH.,153.0,MEGHADŪTA,done,@OFar0101,,2025-05-07 00:00:00,PWG/issues/147,2025-05-07 00:00:00,meghasrnga,2025-05-22 00:00:00,37.0,
*51,101.0,ŚṚṄGĀRAT.,- - -,(Same book as 50 above) ŚṚṄGĀRATILAKA,done,@OFar0101,,2025-05-07 00:00:00,PWG/issues/147,2025-05-07 00:00:00,meghasrnga,2025-05-22 00:00:00,38.0,
66.0,1282.0,BHARTṚ.,293.0,BHARTṚHARI (1833) BOHLEN ed.,done,@OFar0101,,2025-05-07 00:00:00,PWG/issues/148,2025-05-07 00:00:00,bhartrhari,2025-05-27 00:00:00,39.0,
*67,405.0,CAURAP.,- - -,"(Same book as 66 above) CAURAPAÑCĀŚIKĀ, ed. BOHLEN",done,@OFar0101,,2025-05-07 00:00:00,PWG/issues/148,2025-05-07 00:00:00,bhartrhari,2025-05-27 00:00:00,40.0,
7a,- - -,MBh. (Bomb.) vol.1,679.0,MBh. (Bomb. ed.) 1864 vol. i,done,@ramray,2025-02-08 00:00:00,2025-02-21 00:00:00,PWK/issues/84,2025-02-22 00:00:00,mbhbomb,2025-06-05 00:00:00,41.0,
7b,- - -,MBh. (Bomb.) vol.2,643.0,MBh. (Bomb. ed.) 1864 vol. ii,done,@ramray,,2025-03-27 00:00:00,PWK/issues/84,2025-03-27 00:00:00,mbhbomb,2025-06-05 00:00:00,42.0,
7c,- - -,MBh. (Bomb.) vol.3,881.0,MBh. (Bomb. ed.) 1864 vol. iii,done,@ramray,,2025-03-27 00:00:00,PWK/issues/84,2025-03-28 00:00:00,mbhbomb,2025-06-05 00:00:00,43.0,
7d,- - -,MBh. (Bomb.) vol.4,837.0,MBh. (Bomb. ed.) 1864 vol. iv,done,@Azanuka2412,2025-02-24 00:00:00,2025-03-16 00:00:00,PWK/issues/84,2025-03-16 00:00:00,mbhbomb,2025-06-05 00:00:00,44.0,
7e,- - -,MBh. (Bomb.) vol.5,1023.0,MBh. (Bomb. ed.) 1864 vol. v,done,@Azanuka2412,,2025-03-21 00:00:00,PWK/issues/84,2025-03-21 00:00:00,mbhbomb,2025-06-05 00:00:00,45.0,
7f,- - -,MBh. (Bomb.) vol.6,705.0,MBh. (Bomb. ed.) 1864 vol. vi,done,@angalinde,2025-02-08 00:00:00,2025-02-23 00:00:00,PWK/issues/84,2025-02-23 00:00:00,mbhbomb,2025-06-05 00:00:00,46.0,
8.0,3364.0,HIT.,460.0,HITOPADEŚA 1829 Schlegel & Lassen ed.,done,@grigoriyt1,2025-05-01 00:00:00,2025-06-02 00:00:00,PWG/issues/152,2025-06-02 00:00:00,hitopadesha,2025-06-16 00:00:00,47.0,
29a,16151.0,AK. Deslongchamps ed. (2 vol.s),818.0,AMARAKOṢA 1839 Deslongchamps ed.,done,@IrinaKonstant,2025-04-17 00:00:00,2025-04-18 00:00:00,PWG/issues/62,2025-04-18 00:00:00,amara_dlc,2025-06-22 00:00:00,48.0,
69.0,1140.0,GĪT.,222.0,GĪTAGOVINDA,done,@grigoriyt1,2025-06-01 00:00:00,2025-06-22 00:00:00,PWG/issues/153,2025-06-22 00:00:00,gitagov,2025-06-23 00:00:00,49.0,
29b,- - -,AK. Colebrooke ed.,680.0,AMARAKOṢA 1808 Colebrooke ed.,done,@grigoriyt1,2025-06-23 00:00:00,2025-06-25 00:00:00,PWG/issues/62,2025-06-25 00:00:00,amara_col,2025-06-29 00:00:00,50.0,
47.0,2221.0,PAÑCAR.,395.0,NĀRADA PAÑCARĀTRA,done,@IrinaKonstant,2025-04-06 00:00:00,2025-04-07 00:00:00,PWG/issues/137,2025-04-07 00:00:00,pancar,2025-07-20 00:00:00,51.0,
62.0,1560.0,VIKR.,723.0,VIKRAMORVAŚĪ,done,@OFar0101,,2025-05-16 00:00:00,PWG/issues/157,2025-07-20 00:00:00,vikramor,2025-08-08 00:00:00,52.0,
33.0,4545.0,★AIT. BR. (2 vol.s),898.0,AITAREYABRĀHMAṆA,done,@IrinaKonstant,2025-06-03 00:00:00,2025-08-03 00:00:00,PWG/issues/159,2025-08-03 00:00:00,aitbr,2025-08-12 00:00:00,53.0,
36.0,3166.0,★NIR.,552.0,YĀSKA'S NIRUKTA sammt den NIGHAṆṬAVA'S,done,@IrinaKonstant,2025-08-10 00:00:00,2025-09-01 00:00:00,PWG/issues/167,2025-09-01 00:00:00,nirukta,2025-09-08 00:00:00,54.0,
37.0,1477.0,★NAIGH.,- - -,(Same book as 36 above) YĀSKA'S NIRUKTA zu Grunde liegende NAIGHAṆṬUKAKĀṆḌA,done,@IrinaKonstant,2025-08-10 00:00:00,2025-09-01 00:00:00,PWG/issues/167,2025-09-01 00:00:00,nirukta,2025-09-08 00:00:00,55.0,
58.0,1755.0,★ṚV. PRĀT. (2 vol.s),746.0,"RigVeda, Uebersetzung des Prâtisâkhya (1856 & 1869) Max Muller",done,@IrinaKonstant,,2026-01-09 00:00:00,PWG/issues/173,2026-01-09 00:00:00,/rvps,2026-07-05 00:00:00,56.0,
48.0,2095.0,★ŚĀṄKH. ŚR. (4 vol.s),1586.0,ŚĀṄKHĀYANA'S ŚRAUTASŪTRĀṆI,on-going,@grigoriyt1,,,,,,,58.0,
72.0,1047.0,★VS. PRĀT.,261.0,PRĀTIŚĀKHYA zur VĀJASANEYISAM̃HITĀ,on-going,@IrinaKonstant,2026-01-14 00:00:00,,PWG/issues/139,,,,59.0,
40.0,2756.0,DHĀTUP.,37 & 341,DHĀTUPĀṬHA in WESTERGAARD'S Radices,on-going,@AnnaRybakovaT,,,,,,,60.0,
56.0,1835.0,★ĀŚV. ŚR.,1058.0,ĀŚVALĀYANA'S ŚRAUTASŪTRĀṆI, to do/ open,,,,,,,,61.0,
59.0,1729.0,★PAÑCAV. BR. (2 vol.s),1876.0,PAÑCAVIṂŚABRĀHMAṆA, to do/ open,,,,,,,,62.0,
60.0,1696.0,★CHĀND. UP.,646.0,CHĀNDOGYOPANIṢAD, to do/ open,,,,,,,,63.0,
61.0,1670.0,VYUTP.,290.0,VYUTPATTI oder MAHĀVYUTPATTI, to do/ open,,,,,,,,64.0,
63.0,1453.0,★ĀŚV. GṚHY.,452.0,ĀŚVALĀYANA'S GṚHYASŪTRĀṆI, to do/ open,,,,,,,,68.0,
64.0,1316.0,★KĀṬH.,935.0,KĀṬHAKA-Recension des YĀJ. V., to do/ open,,,,,,,,69.0,
65.0,1299.0,ŚIŚ.,776.0,ŚIŚUPĀLAVADHA, to do/ open,,,,,,,,70.0,
20.0,6783.0,RĀJAN.,- - -,"RĀJANIRGHAṆṬA, ein medicinisches Wörterbuch",NR/ indirect,,,,,,,,71.0,
38.0,3128.0,ŚABDAR.,- - -,"ŚABDARATNĀVALĪ, ein Wörterbuch",NR/ indirect,,,,,,,,72.0,
22.0,6347.0,Ind. St. (18 vol.s),. . . .,WEBER'S Indische Studien,page-wise,,,,,,,,73.0,
32.0,12442.0,SUŚR. (2 vol.s),. . . .,"SUŚRUTA, ed. Calc. (GILD. Bibl. 367)",page-wise,,,,,,,,74.0,
34.0,3884.0,Verz. d. B. H.,. . . .,WEBER'S Verzeichniss der Berliner Sanskrit Handschriften,page-wise,,,,,,,,75.0,
35.0,3697.0,VP.,. . . .,VIṢṆUPURĀṆA 1840 WILSON's ed.,page-wise,,,,,,,,76.0,
41.0,2659.0,PRAB.,. . . .,"PRABODHACANDRODAYA, ed. BROCKHAUS",page-wise,,,,,,,,77.0,
42.0,2616.0,SARVADARŚANAS.,. . . .,SARVADARŚANASAṄGRAHA,page-wise,,,,,,,,78.0,
46a,2334.0,COLEBR. Misc. Ess. (1st ed.),. . . .,COLEBROOKE'S Miscellaneous Essays (2 vol.s),page-wise,,,,,,,,79.0,
46b,- - -,COLEBR. Misc. Ess. (2nd ed.),. . . .,COLEBROOKE'S Miscellaneous Essays,page-wise,,,,,,,,80.0,
49.0,2077.0,HALL,. . . .,A contribution towards an index to the Bibliography of the Indian philosophical systems,page-wise,,,,,,,,81.0,
55.0,1843.0,DAŚAK.,. . . .,DAŚAKUMĀRACARITA (1846),page-wise,,,,,,,,82.0,
57.0,1787.0,MṚCCH.,. . . .,MṚCCHAKAṬIKĀ (1846),page-wise,,,,,,,,83.0,
68.0,1194.0,NĪLAK.,. . . .,A rational refutation of the Hindu philosophy,page-wise,,,,,,,,84.0,
71a,1065.0,"WILSON, Sel. Works (1st ed.)",. . . .,Selected Works of H.H. Wilson (2 vol.s),page-wise,,,,,,,,85.0,
71b,- - -,"WILSON, Sel. Works (2nd ed.)",. . . .,Selected Works of H.H. Wilson,page-wise,,,,,,,,86.0,
