value	class_draft	evidence	source
AIT. ĀRAṆYAKA	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:AIT.
AITAREYA ĀRAṆYAKA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AIŚĀNASAṂH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AJAY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AJAYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AJAYAK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AJAYAP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AJAYAPĀLA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AJĀTAŚATRU	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AK. (COLEBR.)	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:AK.
AK. (LOIS.)	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:AK.
AK. COL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:AK.
AK. ed. COLEBR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AMARAKOṢA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ALAṂK. K.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ALAṂKĀRAKAUSTUBHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ALAṂKĀRAC. Eing.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ALAṂKĀRAC.
ALAṂKĀRAŚĀSTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ALBRECHT WEBER	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
A. WEBER	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ALBYR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ALBYROUNY	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AMAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AMARAD.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AMARAMĀLĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AMARASIṂHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AMṚTAB. UP.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
AMṚTABINDŪP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:AMṚTABINDŪP
AMṚTAN. UP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AMṚTANĀD. UP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AMṚTANĀDOP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ANANTA-BHAṬṬA-KAVI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ANANTASAṂHITĀ	book-work	default: bib expansion with no person/periodical signal	no-bib-record
ANANTAVRATAKATHĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ANEKĀRTHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ANEKĀRTHADHV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ANEKĀRTHADHVANIM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ANEKĀRTHADHVANIMAÑJARĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ANEKĀRTHAK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ANEKĀRTHAKOṢA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ANNADĀKALPA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ANNAṂBH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ANUKR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ANUKR. ŚĀṬY. BR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ANUKR.
ANUP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ANUP. S.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ANUPAD.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ANUPADA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ANUPADAS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
APARĀJITĀSTOTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ARIEL	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ARJ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ARJUNAM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ARR. Ind.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ARRIAN Ind.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ARUṆA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ARUṆADATTA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ATHARVAŚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ATHARVAŚ. UP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ATHARVAŚIR. UP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AUFR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AUFRECHT	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AUFR. De accentu comp.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:AUFR.
AUFRECHT, HALĀY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AUFR. HALĀY. Ind.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:AUFR.
AUFRECHT, HALĀY. Ind.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:AUFRECHT, HALĀY.
AUFRECHTʼs Ausg. des HALĀY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:AUFRECHT
AUFRECHT, UṆĀDIS. Ind.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:AUFRECHT
AUPAMANYAVA NIR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AURṆAVĀBHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AUṢ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AV. ANUKR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AV. PAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AV. PARIŚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AV. PRĀT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AVAD. ŚAT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AVADĀNAŚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AVADĀNAKALPALATĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AVAYAVAGRANTHAGĀDĀDHARĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AVIC.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Abh. d. Königl. Ak. d. W. zu Berlin	person-western?	Latin-script surname pattern	no-bib-record
As. Res.	journal-periodical	periodical keyword in tooltip	pwgbib-exact
Asiat. Res.	journal-periodical	periodical keyword in tooltip	pwgbib-exact
Asiatischen Museum der Kais. Akad. d. Wiss. in St. Petersburg	journal-periodical	periodical keyword in tooltip	no-bib-record
AŚOKĀV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AŚOKĀVAD.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AŚOKĀVADĀNA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AŚVATANTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AṄGIRAS	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AṢṬĀV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
AṢṬĀVAKRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BAER und HELMERSEN, Beitr. z. Kenntn. d. russ. Reiches	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BAER
BAHVṚCA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BAHVṚCAGṚHYAPADDHATI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BALA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BALL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BALLANT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BALLANTYNE	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BANERJEA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BANERJEA, Dial.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BASINER	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BAUDDHĀDHIKĀRACINTĀMAṆI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BAUDH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BAUDHĀYANA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BAṬUKABHAIRAVASTOTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BENF.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BENFEY	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BENF. Chr.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BENFEY Chr.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BENFEY
BENF. Gr.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BENF. SV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BENF.
BENFEY, Glossar z. SV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BENFEY
BENFEY, SV. Einl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BENFEY, SV.
BENFEY, SV. Vorr.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BENFEY, SV.
BENF. Uebers.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BENF.
BENFEYʼs Uebersetzung	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BENFEY
BENFEYʼs Dict.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BENFEY
BERGSTEDT	book-work	default: bib expansion with no person/periodical signal	no-bib-record
BERLIC, Gramm. der illir. Sprache	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHADRAKĀLĪKAVACA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAG.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAG. Einl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BHAG.
BHAG. SCHL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BHAG.
BHAG. ed. SCHL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BHAG.
BHAGAVADGĪTĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAGAVADBHAKTIVILĀSA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAGAVATĪGĪTĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAGIN	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAGĪRATHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAIRAVADHYĀNA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAIṢAJYARATN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAIṢAJYARATNĀV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAIṢAJYARATNĀVALĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAKTIRASĀMṚTASINDHU	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHARATA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAR.	person-author	person descriptor in tooltip	pwgbib-exact
BHAR. NĀṬYAŚ.	person-author	person descriptor in tooltip	pwgbib-prefix:BHAR.
BHARADVĀJA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHARATAM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BHARATA
BHARAṬAK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHARTṚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHARTṚ. (lith. Ausg.)	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BHARTṚ.
BHARTṚ. Suppl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHARTṚ. ed. BOHL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BHARTṚ.
BHARTṚHARI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAVABH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAVABHŪTI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAVADEVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAVADEVABH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAVADEVABHAṬṬA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAV. P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAVIṢYA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAVIṢYOTT. P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAVIṢYOTTARA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAVIṢYOTTARAPURĀṆA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAṬAPRAKĀŚIKĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAṬṬ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAṬṬAMALLA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAṬṬI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAṬṬIK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BHAṬṬIK
BHAṬṬOTP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHAṬṬOTPALA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHOJA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHOJARĀJA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHOJAPRAB.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHUVANEŚVARĪSTOTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀG.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀG. P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀG. P. Calc. lith. Ausg.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BHĀG. P.
BHĀG. P. Einl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BHĀG. P.
BHĀG. P. I, Einl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BHĀG. P.
BHĀG. P. ed. BURN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀG. P. ed. Bomb.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀGAVATĀMṚTA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀGAVṚTTI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀGURI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀMAHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀMINĪV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀMINĪVILĀSA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀNUD.	person-author	person descriptor in tooltip	pwgbib-exact
BHĀNUDĪKṢ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀNUDĪKṢITA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀRADV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀRAVI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀSK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀSKARA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀSKARĀCĀRYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀSKARAʼs SIDDHĀNTAŚIROMAṆI	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BHĀSKARA
BHĀSKARAMIŚRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀVAPR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀVAPRAKĀŚA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀVAVIVEKA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀṢYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀṢĀP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĀṢĀPAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHĪMAPARĀKRAMA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHŪRIPR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHŪRIPRAYOGA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHŪTAŚUDDHIPRAKARAṆA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHŪTAŚUDDHIT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHŪTAŚUDDHITANTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHŪTAḌĀMARA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHŪTAḌĀMARATANTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BHṚGU	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BIJĀBHIDHĀNA	book-work	default: bib expansion with no person/periodical signal	no-bib-record
BLAND	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BODHICĀRYĀV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BOHLEN	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BOLL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BOLLENSEN	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BOPP	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BRAHMA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BRAHMA-S.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BRAHMAS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BRAHMAG.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BRAHMAGUPTA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BRAHMASIDDH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BRAHMAV. P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BRAHMAVAIV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BRAHMAVAIV. (ST.)	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BRAHMAVAIV.
BRAHMAVAIV. P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BRAHMAVAIV. P., BRAHMAKH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BRAHMAVAIV. P.
BRAHMAVAIV. P., BRAHMAKHAṆḌA	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BRAHMAVAIV. P.
BRAHMAVAIV. P., GAṆAPATIKH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BRAHMAVAIV. P.
BRAHMAVAIV. P., GAṆAPATIKHAṆḌA	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BRAHMAVAIV. P.
BRAHMAVAIV. P., PRAKṚTIKH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BRAHMAVAIV. P.
BRAHMAVAIV. P., PRAKṚTIKHAṆḌA	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BRAHMAVAIV. P.
BRAHMAVAIV. P., ŚRĪKṚṢṆAJANMAKH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BRAHMAVAIV. P.
BRAHMAVAIV. P., ŚRĪKṚṢṆAJANMAKH., DHENUKĀSURAV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BRAHMAVAIV. P.
BRAHMAVAIV. P., ŚRĪKṚṢṆAJANMAKHAṆḌA	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BRAHMAVAIV. P.
BRAHMAVAIV. P., KṚṢṆAJANMAKH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BRAHMAVAIV. P.
BRAHMAYĀMALA	book-work	default: bib expansion with no person/periodical signal	no-bib-record
BRAHMOP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BRAHMOPANIṢAD	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BRAHMĀṆḌA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BRAHMĀṆḌAPURĀṆA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BROCKH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BROCKHAUS	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BRĀHM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BRĀHMAṆA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BRĀHMADHARMA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BRĀHMAṆ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BRĀHMAṆAKULĀCĀRYAKĀRIKĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BUCHANANʼs Handschrr.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
BUCHANANʼs Hdschrr.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
BUDDHACAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BUDDHACARITAK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BUDDHOKT.	journal-periodical	periodical keyword in tooltip	pwgbib-exact
BURGESS	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BURN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BURNOUF	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BURN. BHĀG. P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BURN.
BURNOUF, BHĀG. P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BURNOUF
BURN. Intr.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BURNOUF, Intr.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BURNOUF
BURN. Lot. de la b. l.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
BURNOUF, Lot. de la b. l.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BURNOUF
BURNOUF, YAŚNA	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BURNOUF
BURNOUFʼs Auffassung	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BURNOUF
BURNELL	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
Beitr. z. vgl. Spr.	person-western?	Latin-script surname pattern	pwgbib-exact
Berichte d. k. s. G. d. Ww.	person-western?	Latin-script surname pattern	pwgbib-exact
Berichte d. k. s. Ges. d. Ww. phil.-hist. Cl.	person-western?	Latin-script surname pattern	pwgbib-prefix:Berichte d. k. s. Ges. d. Ww. phil.-hist.
Berichte d. k. s. Ges. d. Ww. phil.-hist. Classe	person-western?	Latin-script surname pattern	pwgbib-prefix:Berichte d. k. s. Ges. d. Ww. phil.-hist.
Berichte der k. s. G. d. Ww.	person-western?	Latin-script surname pattern	pwgbib-exact
Berichte der phil.-hist. Cl. d. k. s. G. d. Ww.	person-western?	Latin-script surname pattern	no-bib-record
Bibl. Ind.	person-western?	Latin-script surname pattern	pwgbib-exact
Bibl. Ind. new ser.	person-western?	Latin-script surname pattern	pwgbib-exact
Bibl. ind.	person-western?	Latin-script surname pattern	pwgbib-exact
Bibl. ind. ĪŚVARAKṚṢṆAʼs सांख्यकारिका	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:Bibl. ind.
Bibl. indica	person-western?	Latin-script surname pattern	no-bib-record
Bomb.	person-western?	Latin-script surname pattern	no-bib-record
Bomb. Ausg.	person-western?	Latin-script surname pattern	no-bib-record
Bomb. Ausgg.	person-western?	Latin-script surname pattern	no-bib-record
Bombay 1783 (1861) lithographirten	person-western?	Latin-script surname pattern	no-bib-record
Breslauer Programm	person-western?	Latin-script surname pattern	no-bib-record
Buddh. Trigl.	person-western?	Latin-script surname pattern	no-bib-record
Bull. de lʼAcad. Imp. des Sc.	person-western?	Latin-script surname pattern	no-bib-record
Bull. de lʼAcad. Imp. des Sc. de S.-P.	person-western?	Latin-script surname pattern	no-bib-record
Bull. de lʼAcad. Imp. des Sc. de St. P.	person-western?	Latin-script surname pattern	no-bib-record
