lemma,shared_ref,source_dict,inheritor,corpus_lemmas_with_ref
kelikila,HARIV. 3380,PWG,MW,1
kfmin,HARIV. 11327,PWG,MW,1
kfzRa,HARIV. 11089,PWG,MW,1
kovidAra,HARIV. 7169,PWG,MW,1
krozwu,HARIV. 1906,PWG,MW,1
kuRqalin,HARIV. 4664,PWG,MW,1
kubera,HARIV. 13131,PWG,MW,1
kukura,HARIV. 2030,PWG,MW,1
kzIroda,HARIV. 12834,PWG,MW,1
kzemaka,HARIV. 1749,PWG,MW,1
nikazA,HARIV. 16038,PWG,MW,1
pAraga,HARIV. 11565,PWG,MW,1
prativyUha,HARIV. 3605,PWG,MW,1
priyasaMgamana,HARIV. 7647,PWG,MW,1
raB,HARIV. 8106,PWG,MW,1
saMgamaka,HARIV. 8992,PWG,MW,1
tAlavana,HARIV. 3704,PWG,MW,1
tAlu,HARIV. 14273,PWG,MW,1
tAmarasa,HARIV. 5771,PWG,MW,1
tAmrapuzpa,HARIV. 12003,PWG,MW,1
tApana,HARIV. 9427,PWG,MW,1
tArApati,HARIV. 10052,PWG,MW,1
tURaka,CHANDOM. 77,PWG,MW,1
talatra,HARIV. 13373,PWG,MW,1
tapoBft,HARIV. 4849,PWG,MW,1
tapoDfti,HARIV. 483,PWG,MW,1
tapovAsa,HARIV. 5168,PWG,MW,1
tarakzu,HARIV. 9373,PWG,MW,1
tarj,HARIV. 11166,PWG,MW,1
taskara,HARIV. 5180,PWG,MW,1
titIrzu,HARIV. 5182,PWG,MW,1
trESaNkava,HARIV. 755,PWG,MW,1
trEpura,HARIV. 7443,PWG,MW,1
trEvikrama,HARIV. 3168,PWG,MW,1
tretA,HARIV. 1410,PWG,MW,1
triSarIrin,HARIV. 14982,PWG,MW,1
triloka,HARIV. 11303,PWG,MW,1
trivikrama,HARIV. 2641,PWG,MW,1
ullApya,SĀH. 545,PWG,MW,1
upaniveSa,HARIV. 8962,PWG,MW,1
vftta,HARIV. 335,PWG,MW,1
vilocana,HARIV. 14943,PWG,MW,1
AKyA,HARIV. 515,PWG,MW,2
AkrIqa,HARIV. 1835,PWG,MW,2
Cadana,HARIV. 12671,PWG,MW,2
Calaka,HARIV. 11476,PWG,MW,2
Cavi,HARIV. 15709,PWG,MW,2
Cid,HARIV. 4774,PWG,MW,2
Danva,HARIV. 7315,PWG,MW,2
Darzaka,HARIV. 8844,PWG,MW,2
Dava,HARIV. 14952,PWG,MW,2
GaRwAkarRa,HARIV. 14849,PWG,MW,2
GaRwa,HARIV. 14884,PWG,MW,2
GanAGana,HARIV. 4759,PWG,MW,2
GarmamAsa,HARIV. 3545,PWG,MW,2
GawiGawa,HARIV. 14884,PWG,MW,2
Gawwana,HARIV. 14581,PWG,MW,2
GoRA,HARIV. 12363,PWG,MW,2
Koraka,HARIV. 10555,PWG,MW,2
SfNga,HARIV. 6424,PWG,MW,2
aSvahanu,HARIV. 1943,PWG,MW,2
aSvatTAman,HARIV. 453,PWG,MW,2
asadgrAha,HARIV. 15479,PWG,MW,2
asfj,HARIV. 9296,PWG,MW,2
avarUpa,KAUŚ. 130,PWG,MW,2
cArunetra,HARIV. 11789,PWG,MW,2
cEtraraTi,HARIV. 1972,PWG,MW,2
cIcIkUcI,HARIV. 1146,PWG,MW,2
cInAMSuka,HARIV. 12745,PWG,MW,2
caYcu,HARIV. 758,PWG,MW,2
cakradeva,HARIV. 6626,PWG,MW,2
cakrapARi,HARIV. 8193,PWG,MW,2
calatva,HARIV. 2893,PWG,MW,2
campa,HARIV. 1699,PWG,MW,2
candraSeKara,HARIV. 14838,PWG,MW,2
candranABa,HARIV. 16254,PWG,MW,2
capalaka,HARIV. 4546,PWG,MW,2
cara,HARIV. 10316,PWG,MW,2
caraRapAta,HARIV. 13607,PWG,MW,2
carmin,HARIV. 1863,PWG,MW,2
catuHsama,HARIV. 14779,PWG,MW,2
caturTaka,HARIV. 10555,PWG,MW,2
ced,HARIV. 11308,PWG,MW,2
cela,HARIV. 7946,PWG,MW,2
cetana,HARIV. 3587,PWG,MW,2
ciKAdizu,HARIV. 16004,PWG,MW,2
citra,HARIV. 15652,PWG,MW,2
citraka,HARIV. 7074,PWG,MW,2
citrapratikfti,HARIV. 7812,PWG,MW,2
citrasena,HARIV. 889,PWG,MW,2
cur,HARIV. 11146,PWG,MW,2
dA,HARIV. 15741,PWG,MW,2
dASaraTi,HARIV. 1697,PWG,MW,2
dAkziRAtya,HARIV. 6200,PWG,MW,2
dArdura,HARIV. 4162,PWG,MW,2
dAtftva,HARIV. 14414,PWG,MW,2
dEvakzatri,HARIV. 1994,PWG,MW,2
dIkzAmaya,HARIV. 2115,PWG,MW,2
dUzaka,HARIV. 5635,PWG,MW,2
dah,HARIV. 8726,PWG,MW,2
dakziRApaTa,HARIV. 5289,PWG,MW,2
darpin,HARIV. 15606,PWG,MW,2
dasra,HARIV. 601,PWG,MW,2
dayA,HARIV. 8486,PWG,MW,2
devAtideva,HARIV. 8814,PWG,MW,2
devagAnDAra,HARIV. 8689,PWG,MW,2
dinAgama,HARIV. 4287,PWG,MW,2
duHsnAna,HARIV. 3413,PWG,MW,2
duHspfSa,HARIV. 3645,PWG,MW,2
gARqIva,HARIV. 9798,PWG,MW,2
gAndinI,HARIV. 1912,PWG,MW,2
gOtama,HARIV. 1788,PWG,MW,2
garBavasati,HARIV. 3312,PWG,MW,2
goBAnu,HARIV. 1830,PWG,MW,2
gopAyana,HARIV. 2142,PWG,MW,2
gopati,HARIV. 4067,PWG,MW,2
guRa,HARIV. 509,PWG,MW,2
jAlapAda,HARIV. 8610,PWG,MW,2
jAtUkarRa,HARIV. 2364,PWG,MW,2
jIvaka,HARIV. 4484,PWG,MW,2
jIvaputra,HARIV. 7848,PWG,MW,2
jYA,HARIV. 7095,PWG,MW,2
jYAtiBeda,HARIV. 7304,PWG,MW,2
jYAtikArya,HARIV. 9085,PWG,MW,2
jalOkas,HARIV. 1215,PWG,MW,2
jalaDAra,HARIV. 12405,PWG,MW,2
jaladakzaya,HARIV. 3825,PWG,MW,2
jaladardura,HARIV. 8427,PWG,MW,2
jalakrIqA,HARIV. 7120,PWG,MW,2
jalavAdita,HARIV. 8426,PWG,MW,2
jalayantra,HARIV. 8425,PWG,MW,2
jalayantraka,HARIV. 8432,PWG,MW,2
jaleSaya,HARIV. 14348,PWG,MW,2
jamBa,HARIV. 12461,PWG,MW,2
jambUla,HARIV. 5371,PWG,MW,2
jani,HARIV. 11979,PWG,MW,2
janmAspada,HARIV. 14653,PWG,MW,2
janmaBUmi,HARIV. 5747,PWG,MW,2
janyu,HARIV. 7092,PWG,MW,2
jaras,HARIV. 9203,PWG,MW,2
jawa,HARIV. 9551,PWG,MW,2
jayatsena,HARIV. 1516,PWG,MW,2
kASya,HARIV. 1521,PWG,MW,2
kASyaka,HARIV. 1520,PWG,MW,2
kAkocCvAsa,HARIV. 4510,PWG,MW,2
kAlaSambara,HARIV. 9210,PWG,MW,2
kAlanABa,HARIV. 195,PWG,MW,2
kAlavfkzIya,HARIV. 9570,PWG,MW,2
kAnizWya,HARIV. 113,PWG,MW,2
kArIza,HARIV. 4355,PWG,MW,2
kESoraka,HARIV. 4081,PWG,MW,2
kEtava,HARIV. 7095,PWG,MW,2
kONkuma,HARIV. 7072,PWG,MW,2
kaSeru,HARIV. 6793,PWG,MW,2
kakudmin,HARIV. 644,PWG,MW,2
karavIra,HARIV. 5230,PWG,MW,2
kfta,HARIV. 1080,PWG,MW,2
kfzRagrIva,HARIV. 9874,PWG,MW,2
kfzRaveRA,HARIV. 12825,PWG,MW,2
kuSAgra,HARIV. 1807,PWG,MW,2
kuSa,HARIV. 822,PWG,MW,2
kuSeSaya,HARIV. 8428,PWG,MW,2
kulya,HARIV. 2098,PWG,MW,2
kzepya,HARIV. 7524,PWG,MW,2
mAnamaya,HARIV. 8455,PWG,MW,2
mara,HARIV. 8464,PWG,MW,2
niDana,HARIV. 4846,PWG,MW,2
nirvizaya,HARIV. 3645,PWG,MW,2
pAdaSeza,HARIV. 16218,PWG,MW,2
pAdavigraha,HARIV. 12030,PWG,MW,2
prAgdeSa,HARIV. 444,PWG,MW,2
praruh,HARIV. 5327,PWG,MW,2
prati,HARIV. 10967,PWG,MW,2
tAla,HARIV. 3711,PWG,MW,2
tAlajaNGa,HARIV. 9553,PWG,MW,2
tAmbUla,HARIV. 8454,PWG,MW,2
tIkzRaraSmi,HARIV. 3839,PWG,MW,2
tUsta,PURUṢOTT,PWG,MW,2
tajjYa,HARIV. 8427,PWG,MW,2
tan,HARIV. 2386,PWG,MW,2
taq,HARIV. 15092,PWG,MW,2
tarkaSAstra,HARIV. 1506,PWG,MW,2
tattva,HARIV. 14840,PWG,MW,2
timi,HARIV. 4915,PWG,MW,2
trAsanIya,HARIV. 2430,PWG,MW,2
trEkAlya,HARIV. 7446,PWG,MW,2
trEvidya,HARIV. 9578,PWG,MW,2
triSfNga,HARIV. 12853,PWG,MW,2
truwi,HARIV. 9529,PWG,MW,2
turI,HARIV. 9203,PWG,MW,2
umA,HARIV. 946,PWG,MW,2
vas,HARIV. 11206,PWG,MW,2
viSvavAjin,HARIV. 11253,PWG,MW,2
vinA,HARIV. 14966,PWG,MW,2
AjYApaka,HARIV. 6518,PWG,MW,3
CAdana,HARIV. 3537,PWG,MW,3
Cattrin,HARIV. 14205,PWG,MW,3
Cedana,HARIV. 913,PWG,MW,3
Gana,HARIV. 2660,PWG,MW,3
Gaww,HARIV. 3210,PWG,MW,3
GftAcI,HARIV. 1658,PWG,MW,3
GftasTalA,HARIV. 12475,PWG,MW,3
JallIzaka,HARIV. 8450,PWG,MW,3
JarJara,HARIV. 194,PWG,MW,3
OdBijja,HARIV. 11122,PWG,MW,3
Odumbara,HARIV. 7988,PWG,MW,3
SaMsana,HARIV. 7425,PWG,MW,3
asti,HARIV. 4955,PWG,MW,3
cARUra,HARIV. 6726,PWG,MW,3
cAkra,HARIV. 5648,PWG,MW,3
cAkzuza,HARIV. 1669,PWG,MW,3
cArin,HARIV. 9139,PWG,MW,3
cAru,HARIV. 6699,PWG,MW,3
cAwu,HARIV. 1144,PWG,MW,3
cOra,HARIV. 7125,PWG,MW,3
candramas,HARIV. 190,PWG,MW,3
capala,HARIV. 4104,PWG,MW,3
caraRa,HARIV. 4643,PWG,MW,3
caturAtman,HARIV. 12884,PWG,MW,3
caturhotra,HARIV. 12884,PWG,MW,3
caturveda,HARIV. 12884,PWG,MW,3
cintAmaRi,HARIV. 8702,PWG,MW,3
citraSiras,HARIV. 14156,PWG,MW,3
citrasena,HARIV. 9251,PWG,MW,3
cyAvana,HARIV. 1512,PWG,MW,3
dAru,HARIV. 15522,PWG,MW,3
daMS,HARIV. 4302,PWG,MW,3
darpaRa,HARIV. 8317,PWG,MW,3
gADana,HARIV. 8865,PWG,MW,3
gADeya,HARIV. 1766,PWG,MW,3
gANga,HARIV. 1824,PWG,MW,3
gAna,HARIV. 11793,PWG,MW,3
gaNgAsAgara,HARIV. 9524,PWG,MW,3
gaNgodBeda,HARIV. 9524,PWG,MW,3
ganDarva,HARIV. 11793,PWG,MW,3
gardaBAkza,HARIV. 191,PWG,MW,3
garga,HARIV. 1732,PWG,MW,3
gavAkza,HARIV. 2439,PWG,MW,3
girikzipa,HARIV. 2084,PWG,MW,3
girinandinI,HARIV. 7738,PWG,MW,3
goDana,HARIV. 8865,PWG,MW,3
gocapalA,HARIV. 1662,PWG,MW,3
godAvarI,HARIV. 12826,PWG,MW,3
gosTAna,HARIV. 3397,PWG,MW,3
govAwa,HARIV. 3397,PWG,MW,3
jAjali,HARIV. 7999,PWG,MW,3
jAmbUnada,HARIV. 12829,PWG,MW,3
jAqya,HARIV. 15815,PWG,MW,3
jArUTI,HARIV. 9136,PWG,MW,3
jAtismaraRa,HARIV. 1211,PWG,MW,3
jYApaka,HARIV. 6518,PWG,MW,3
jaGanin,HARIV. 9547,PWG,MW,3
jagadADAra,BHĀṢĀP. 44,PWG,MW,3
jambUlamAlikA,HARIV. 10889,PWG,MW,3
janeSa,HARIV. 8403,PWG,MW,3
janya,BHĀṢĀP. 44,PWG,MW,3
jayanta,HARIV. 9736,PWG,MW,3
jiGfkzu,HARIV. 6463,PWG,MW,3
kASaka,HARIV. 1733,PWG,MW,3
kASaya,HARIV. 1734,PWG,MW,3
kASi,HARIV. 1734,PWG,MW,3
kAlAnala,HARIV. 1669,PWG,MW,3
kAlalocana,HARIV. 12941,PWG,MW,3
kAnIna,HARIV. 4057,PWG,MW,3
kApitTika,HARIV. 7988,PWG,MW,3
kArta,HARIV. 1845,PWG,MW,3
kAryAntara,HARIV. 4339,PWG,MW,3
kAzWaBAra,HARIV. 4356,PWG,MW,3
kEraleya,HARIV. 5501,PWG,MW,3
kEtaveya,HARIV. 5019,PWG,MW,3
kOSika,HARIV. 5501,PWG,MW,3
kOSika,HARIV. 1457,PWG,MW,3
kOSika,HARIV. 11074,PWG,MW,3
karavIrakaramBin,HARIV. 8954,PWG,MW,3
ketumAla,HARIV. 8227,PWG,MW,3
kfmi,HARIV. 1675,PWG,MW,3
kfmilASva,HARIV. 1779,PWG,MW,3
kfttivAsas,HARIV. 3285,PWG,MW,3
kfzRa,HARIV. 1892,PWG,MW,3
kiNkiRIkin,HARIV. 2023,PWG,MW,3
kuvalASva,HARIV. 671,PWG,MW,3
kzar,HARIV. 8898,PWG,MW,3
kzemaDanvan,HARIV. 824,PWG,MW,3
kzetrajYa,HARIV. 11297,PWG,MW,3
kzupa,HARIV. 9183,PWG,MW,3
tAmraliptaka,HARIV. 12838,PWG,MW,3
tAqakA,HARIV. 218,PWG,MW,3
tArkzya,HARIV. 12468,PWG,MW,3
tAvanmAtra,HARIV. 1204,PWG,MW,3
tEtikzava,HARIV. 1681,PWG,MW,3
tamAla,HARIV. 12837,PWG,MW,3
taraRa,KAUŚ. 52,PWG,MW,3
tizya,HARIV. 3019,PWG,MW,3
tuRqa,HARIV. 14882,PWG,MW,3
tuwituwa,HARIV. 14882,PWG,MW,3
tuzya,HARIV. 14882,PWG,MW,3
upanAyika,HARIV. 4417,PWG,MW,3
vAraRa,HARIV. 1700,PWG,MW,3
CAgali,HARIV. 5017,PWG,MW,4
GawABa,HARIV. 12698,PWG,MW,4
GfRi,HARIV. 3588,PWG,MW,4
Kara,HARIV. 3114,PWG,MW,4
aruRapriyA,HARIV. 12470,PWG,MW,4
asaNga,HARIV. 9207,PWG,MW,4
astra,HARIV. 10703,PWG,MW,4
avijYAtagati,HARIV. 156,PWG,MW,4
cANgerI,HARIV. 4652,PWG,MW,4
cAkzuza,HARIV. 69,PWG,MW,4
cArudezRa,HARIV. 1940,PWG,MW,4
cAturdEva,HARIV. 6509,PWG,MW,4
cIrin,HARIV. 10594,PWG,MW,4
candrASva,HARIV. 706,PWG,MW,4
candrahan,HARIV. 2289,PWG,MW,4
carmavfkza,HARIV. 12681,PWG,MW,4
caturveda,HARIV. 14074,PWG,MW,4
cekitAna,HARIV. 5013,PWG,MW,4
celagaNgA,HARIV. 7736,PWG,MW,4
citraGnI,HARIV. 9516,PWG,MW,4
citraraTa,HARIV. 9193,PWG,MW,4
cola,HARIV. 1836,PWG,MW,4
daRqaka,HARIV. 637,PWG,MW,4
daSArha,HARIV. 1991,PWG,MW,4
daSaraTa,HARIV. 1993,PWG,MW,4
darada,HARIV. 6441,PWG,MW,4
datta,HARIV. 2033,PWG,MW,4
gAlava,HARIV. 1467,PWG,MW,4
gAnDAra,HARIV. 8395,PWG,MW,4
gOra,HARIV. 981,PWG,MW,4
gaNgAtIrTa,HARIV. 9520,PWG,MW,4
ganDarva,HARIV. 234,PWG,MW,4
garizWa,HARIV. 14289,PWG,MW,4
guRaka,HARIV. 4479,PWG,MW,4
jAmbUnada,HARIV. 8419,PWG,MW,4
jaB,KAUŚ. 114,PWG,MW,4
jaGanyaja,HARIV. 594,PWG,MW,4
jalAntaka,HARIV. 9186,PWG,MW,4
jalaja,HARIV. 8056,PWG,MW,4
janeSvara,HARIV. 1828,PWG,MW,4
jawAla,HARIV. 10594,PWG,MW,4
jihmatA,HARIV. 7335,PWG,MW,4
jyotirBAsin,HARIV. 985,PWG,MW,4
kAlakAkza,HARIV. 14289,PWG,MW,4
kArti,HARIV. 1082,PWG,MW,4
kEkeya,HARIV. 1680,PWG,MW,4
kErava,HARIV. 5020,PWG,MW,4
kOSAmbya,HARIV. 5017,PWG,MW,4
kerala,HARIV. 1836,PWG,MW,4
ketu,HARIV. 4259,PWG,MW,4
kfmi,HARIV. 2002,PWG,MW,4
kftAgni,HARIV. 1850,PWG,MW,4
kftOjas,HARIV. 1850,PWG,MW,4
kftalakzaRa,HARIV. 1940,PWG,MW,4
kftvI,HARIV. 981,PWG,MW,4
kfzwi,HARIV. 3588,PWG,MW,4
kola,HARIV. 1836,PWG,MW,4
komala,HARIV. 12832,PWG,MW,4
krIqAnArI,HARIV. 8309,PWG,MW,4
kramaRa,HARIV. 2002,PWG,MW,4
kuSAmba,HARIV. 1425,PWG,MW,4
kukzi,HARIV. 59,PWG,MW,4
kulija,KAUŚ. 12,PWG,MW,4
kumBaketu,HARIV. 9254,PWG,MW,4
kumuda,HARIV. 9193,PWG,MW,4
kunizaYja,HARIV. 474,PWG,MW,4
tEttiri,HARIV. 2016,PWG,MW,4
tURi,HARIV. 9207,PWG,MW,4
tanaya,HARIV. 477,PWG,MW,4
tapasomUrti,HARIV. 482,PWG,MW,4
tapasya,HARIV. 428,PWG,MW,4
tapoSana,HARIV. 482,PWG,MW,4
tapomUla,HARIV. 428,PWG,MW,4
taporavi,HARIV. 482,PWG,MW,4
taruRa,HARIV. 477,PWG,MW,4
tigmatejas,HARIV. 10703,PWG,MW,4
tumba,HARIV. 3479,PWG,MW,4
DArin,HARIV. 11986,PW,MW,1
DArzRaka,HARIV. 642,PW,MW,1
Dvaja,HARIV. 9245,PW,MW,1
GAwa,HARIV. 16117,PW,MW,1
aDigopam,LAGHUK. 970,PW,MW,1
atimAla,LAGHUK. 1017,PW,MW,1
bisa,HARIV. 15445,PW,MW,1
caturviBakta,HARIV. 12883,PW,MW,1
dAsatA,VEṆĪS. 175,PW,MW,1
daMzwrin,HARIV. 12496,PW,MW,1
gAnDarva,HARIV. 16291,PW,MW,1
jalapUrRa,HARIV. 5196,PW,MW,1
kfzRanandana,HARIV. 9331,PW,MW,1
kfzRasUnu,HARIV. 9324,PW,MW,1
pUlAsa,GAṆAR. 81,PW,MW,1
prativyUha,HARIV. 3605,PW,MW,1
raB,HARIV. 8106,PW,MW,1
tURaka,CHANDOM. 77,PW,MW,1
tiraspawa,CAURAP. (A.) 49,PW,MW,1
trikumArIka,HARIV. 948,PW,MW,1
utTApya,BĪJAG. 45,PW,MW,1
BfNgiriwa,HARIV. 15421,PW,MW,2
Danva,HARIV. 7315,PW,MW,2
Kagata,HARIV. 5336,PW,MW,2
SAlAturIya,GAṆAR. 2,PW,MW,2
aSocya,HARIV. 6062,PW,MW,2
anuvizRu,LAGHUK. 972,PW,MW,2
asfj,HARIV. 9296,PW,MW,2
citraka,HARIV. 7074,PW,MW,2
dehabanDa,HARIV. 9030,PW,MW,2
devapurohita,HARIV. 13208,PW,MW,2
ekadeha,HARIV. 3439,PW,MW,2
kAlanemin,HARIV. 2640,PW,MW,2
kArIza,HARIV. 4355,PW,MW,2
kftalakzaRa,HARIV. 5031,PW,MW,2
kfzRaja,HARIV. 9322,PW,MW,2
kulya,HARIV. 2098,PW,MW,2
mara,HARIV. 8464,PW,MW,2
nirvizaya,HARIV. 3645,PW,MW,2
pAdavigraha,HARIV. 12030,PW,MW,2
prAgdeSa,HARIV. 444,PW,MW,2
puka,GAṆAR. 299,PW,MW,2
talaGAta,HARIV. 16027,PW,MW,2
talaSabda,HARIV. 15742,PW,MW,2
tarkita,HARIV. 9467,PW,MW,2
triSata,HARIV. 512,PW,MW,2
triSiKa,HARIV. 12292,PW,MW,2
tripAdavigraha,HARIV. 2626,PW,MW,2
triparva,HARIV. 12238,PW,MW,2
viSvavAjin,HARIV. 11253,PW,MW,2
AtmahitAyana,HARIV. 12608,PW,MW,3
OdBijja,HARIV. 11122,PW,MW,3
avaGawwita,HARIV. 4720,PW,MW,3
candrasUryAkza,HARIV. 14189,PW,MW,3
daSASvameDika,HARIV. 9522,PW,MW,3
gfhakzetrin,HARIV. 3493,PW,MW,3
jitaSrama,HARIV. 4544,PW,MW,3
kftanAmaka,HARIV. 3436,PW,MW,3
tIrRapratijYa,HARIV. 7256,PW,MW,3
tapoda,HARIV. 9524,PW,MW,3
tretAtva,HARIV. 11863,PW,MW,3
triDAra,HARIV. 3189,PW,MW,3
upanAyika,HARIV. 4417,PW,MW,3
viSasti,GAṆAR. 399,PW,MW,3
AtmaBavAyana,HARIV. 8819,PW,MW,4
avijYAtagati,HARIV. 156,PW,MW,4
cakramOlin,HARIV. 3415,PW,MW,4
celakaRWin,HARIV. 6046,PW,MW,4
daSabadDa,HARIV. 3507,PW,MW,4
gaNgAvataraRa,HARIV. 8690,PW,MW,4
kErava,HARIV. 5020,PW,MW,4
koNkaRAvatI,HARIV. 9510,PW,MW,4
