created_at,closed_at,labels
2026-04-10T01:51:55Z,2026-04-11T07:06:45Z,daily-corrections;text-correction;medium;documentation;trivial
2026-04-09T01:27:44Z,2026-04-11T06:40:28Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-08T01:48:14Z,2026-04-08T02:21:31Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-07T01:47:57Z,2026-04-11T08:30:54Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-06T07:35:46Z,2026-04-06T08:00:52Z,bug;minor
2026-04-06T03:50:37Z,2026-04-08T16:24:55Z,doc;question;minor
2026-04-06T03:31:39Z,2026-04-08T01:02:04Z,bug;doc;minor
2026-04-06T03:17:09Z,2026-04-06T03:32:17Z,bug;doc;minor
2026-04-06T00:36:50Z,2026-04-06T06:19:56Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-05T16:35:25Z,2026-05-13T19:00:57Z,question;deferred;minor
2026-04-05T16:11:51Z,2026-04-06T03:43:21Z,question;minor
2026-04-05T02:26:52Z,2026-04-05T15:11:35Z,bug;text-correction;minor;medium
2026-04-05T01:52:49Z,2026-05-01T14:36:35Z,doc;content-enhancement;minor;infrastructure
2026-04-05T01:36:05Z,2026-04-05T15:31:52Z,enhancement;daily-corrections;text-correction;minor;medium
2026-04-04T18:49:17Z,2026-04-04T18:50:25Z,bug;enhancement;minor
2026-04-03T15:04:16Z,2026-04-03T15:22:49Z,bug;text-correction;minor
2026-04-03T12:04:53Z,2026-05-01T15:20:01Z,enhancement;help wanted;text-correction;minor;medium
2026-04-03T09:03:59Z,2026-04-06T05:23:32Z,question;minor
2026-04-03T06:39:41Z,2026-04-05T17:07:50Z,enhancement;text-correction;minor;medium
2026-04-03T05:11:55Z,2026-04-21T12:54:20Z,doc;question;text-correction;minor;trivial
2026-04-03T05:02:15Z,2026-04-29T14:26:07Z,bug;doc;text-correction;minor
2026-04-03T04:46:04Z,2026-04-03T04:47:25Z,question;minor
2026-04-02T18:49:28Z,2026-04-03T04:22:11Z,text-correction;medium
2026-04-02T18:48:35Z,,deferred;markup;minor;tech-debt
2026-03-03T09:59:06Z,,question;minor
2026-02-16T06:37:57Z,2026-05-01T14:10:15Z,deferred;text-correction;medium
2026-02-16T05:31:28Z,2026-02-16T16:27:21Z,batch;text-correction;medium
2026-02-15T23:56:55Z,2026-05-01T14:10:15Z,deferred;text-correction;medium
2026-02-04T04:19:00Z,2026-05-01T14:36:34Z,doc;question;minor
2026-02-03T12:37:16Z,2026-04-18T12:18:49Z,text-correction;medium
2026-01-10T21:44:46Z,2026-01-10T22:28:04Z,markup;minor
2026-01-04T01:44:21Z,2026-02-15T05:19:29Z,text-correction;medium
2026-01-04T01:07:33Z,2026-01-08T17:15:36Z,text-correction;medium
2026-01-04T00:47:20Z,2026-01-04T18:15:55Z,text-correction;minor
2026-01-04T00:36:41Z,2026-01-10T19:58:20Z,text-correction;minor
2026-01-04T00:27:49Z,2026-01-10T20:07:53Z,text-correction;minor
2026-01-04T00:22:18Z,2026-02-15T05:36:27Z,text-correction;minor
2026-01-03T23:50:18Z,2026-01-04T00:01:45Z,text-correction;minor
2026-01-01T04:27:24Z,2026-02-03T04:55:27Z,question;minor
2025-12-25T18:58:11Z,2026-01-10T20:25:19Z,text-correction;medium
2025-12-11T23:38:45Z,2026-05-01T16:36:42Z,question;minor
2025-11-27T00:34:53Z,2026-01-08T16:44:36Z,text-correction;medium
2025-11-26T02:02:34Z,2026-01-04T01:20:08Z,text-correction;medium
2025-09-29T07:01:11Z,2025-12-11T23:37:45Z,question;minor
2025-07-29T14:22:12Z,2026-01-13T10:03:40Z,question;minor
2025-06-25T16:46:19Z,2025-07-28T14:00:22Z,question;minor
2025-06-12T16:05:20Z,2025-08-01T13:24:17Z,question;minor
2025-04-20T18:53:13Z,2025-06-12T16:03:30Z,question;minor
2025-04-19T18:15:47Z,2026-01-10T22:29:33Z,text-correction;medium
2025-04-17T20:46:21Z,2025-04-18T01:07:26Z,bug;minor
2025-02-17T05:35:38Z,2025-12-31T12:28:11Z,question;minor
2025-01-15T03:37:58Z,2026-04-26T00:35:40Z,desc-cor;text-correction;medium
2024-10-08T20:05:58Z,2024-11-12T19:12:28Z,text-correction;medium
2024-05-29T20:49:26Z,2025-01-15T03:42:33Z,text-correction;medium
2024-05-12T15:39:35Z,2024-05-19T21:05:46Z,bug;minor
2024-05-12T15:33:37Z,2024-05-30T04:47:59Z,question;minor
2024-01-25T02:58:27Z,,doc;question;minor
2024-01-13T09:45:00Z,2026-04-08T16:44:22Z,content-enhancement;minor
2023-12-15T15:03:33Z,2023-12-16T05:57:45Z,question;minor
2023-12-14T02:46:55Z,2023-12-15T14:54:33Z,doc;text-correction;medium
2023-11-09T20:47:46Z,2023-12-15T15:18:15Z,bug;doc;minor
2022-09-12T16:35:14Z,2022-09-12T16:50:52Z,bug;minor
2021-09-01T07:57:38Z,2023-12-15T15:04:29Z,question;minor
2021-08-21T00:46:49Z,2021-09-01T03:08:06Z,text-correction;medium
2021-08-16T03:13:47Z,2021-08-18T16:49:18Z,text-correction;medium
2021-08-07T23:16:57Z,,enhancement;deferred;markup;minor
2021-08-07T09:34:53Z,2026-04-25T15:18:34Z,doc;encoding;minor
2021-08-07T09:19:23Z,2021-09-12T08:55:13Z,question;minor
2021-08-07T04:06:10Z,2026-04-25T16:12:04Z,enhancement;encoding;minor
2021-08-01T17:32:16Z,2024-05-16T20:19:05Z,help wanted;markup;minor
2021-07-31T20:47:59Z,2021-08-16T17:32:37Z,text-correction;medium
2021-07-31T12:10:58Z,2023-12-15T15:17:26Z,enhancement;encoding;minor
2021-07-31T11:25:41Z,2021-09-08T11:04:31Z,encoding;minor
2021-07-31T11:08:50Z,2026-04-25T14:38:49Z,question;minor
2021-07-31T11:07:33Z,,question;minor
2021-07-31T11:05:49Z,2026-04-25T13:38:35Z,question;minor
2021-07-04T17:22:27Z,2021-07-05T00:30:55Z,help wanted;text-correction;medium
2021-07-04T02:19:03Z,2021-07-31T20:38:27Z,text-correction;medium
2021-05-01T20:25:19Z,2021-05-02T14:31:59Z,encoding;minor
2021-04-23T01:44:36Z,2021-06-20T18:51:53Z,text-correction;medium
2021-04-22T02:10:38Z,2021-07-04T16:26:56Z,text-correction;medium
2021-04-22T02:09:18Z,2021-07-04T17:03:11Z,text-correction;medium
2021-04-17T00:44:08Z,2021-04-22T20:52:05Z,desc-cor;batch;text-correction;medium
2021-04-02T02:58:42Z,2021-04-23T01:10:22Z,desc-cor;batch;text-correction;medium
2021-03-29T02:36:14Z,2021-04-04T01:29:02Z,desc-cor;batch;text-correction;medium
2021-03-24T09:45:55Z,2021-07-31T12:45:47Z,text-correction;minor
2021-03-22T02:32:55Z,2021-04-03T21:59:41Z,text-correction;medium
2021-03-22T02:10:21Z,2021-03-22T02:20:55Z,text-correction;medium
2021-03-20T16:01:00Z,2021-03-20T16:06:48Z,bug;minor
2021-03-19T19:21:06Z,2024-05-13T19:16:23Z,scan-quality;minor
2021-02-15T02:46:37Z,2021-03-19T19:17:51Z,desc-cor;batch;text-correction;medium
2021-02-08T03:32:05Z,2021-02-20T03:44:45Z,text-correction;medium
2021-02-08T02:56:51Z,2021-02-08T03:24:46Z,text-correction;medium
2021-01-27T22:09:13Z,2021-02-05T02:18:19Z,desc-cor;batch;text-correction;medium
2021-01-27T02:10:35Z,2021-01-27T03:36:31Z,text-correction;medium
2021-01-13T22:16:13Z,2021-01-22T22:15:34Z,desc-cor;batch;text-correction;medium
2021-01-13T22:15:37Z,2021-02-08T02:53:49Z,text-correction;medium
2021-01-13T15:22:14Z,2026-04-08T12:42:12Z,question;minor
2021-01-13T15:06:32Z,,bug;batch;encoding;minor;medium
2021-01-13T04:55:08Z,2026-05-02T15:05:45Z,enhancement;markup;minor
2021-01-13T04:46:36Z,2021-01-15T21:27:25Z,text-correction;minor
2021-01-10T19:53:32Z,2021-01-13T22:20:06Z,desc-cor;batch;text-correction;medium
2021-01-07T22:37:49Z,2021-07-31T12:34:05Z,desc-cor;batch;text-correction;medium
2021-01-07T05:44:08Z,2021-07-31T11:49:51Z,head;text-correction;medium
2021-01-07T05:16:32Z,2021-07-31T11:42:22Z,head;text-correction;medium
2021-01-07T04:51:51Z,,bug;head;encoding;minor
2021-01-07T04:44:50Z,2021-07-31T11:31:18Z,head;text-correction;medium
2021-01-07T02:27:03Z,2021-07-31T11:27:43Z,head;text-correction;medium
2021-01-06T17:52:59Z,2021-01-09T15:32:47Z,head;text-correction;medium
2021-01-06T17:46:58Z,2021-07-31T11:09:30Z,head;batch;text-correction;medium
2021-01-06T17:16:41Z,2021-07-31T12:56:36Z,head;batch;text-correction;medium
2021-01-05T07:37:05Z,2023-12-15T15:06:32Z,doc;question;minor
2021-01-04T03:28:43Z,2023-12-15T15:06:18Z,doc;question;minor
2021-01-01T17:19:48Z,2021-01-13T21:22:48Z,desc-cor;text-correction;medium
2021-01-01T13:33:36Z,2021-07-31T12:28:31Z,encoding;medium
2021-01-01T03:13:57Z,2021-01-01T17:16:30Z,enhancement;content-enhancement;minor
2020-12-26T07:37:36Z,2023-12-15T15:09:23Z,doc;question;minor
2020-12-17T07:53:14Z,,enhancement;content-enhancement;minor
2020-12-13T01:57:56Z,2021-01-01T17:23:22Z,desc-cor;text-correction;medium
2020-12-12T01:38:21Z,2020-12-12T02:33:27Z,enhancement;link-target;minor
2020-12-11T18:15:52Z,2021-01-01T17:28:01Z,doc;question;minor
2020-11-27T22:37:32Z,2021-07-31T12:07:08Z,enhancement;encoding;minor
2020-11-21T20:27:54Z,2021-09-18T21:09:38Z,text-correction;medium
2020-11-18T23:25:09Z,2021-01-05T03:24:12Z,desc-cor;text-correction;medium
2020-11-18T02:06:11Z,2020-11-27T21:37:06Z,text-correction;medium
2020-11-12T03:24:05Z,2020-11-19T21:06:07Z,text-correction;medium
2020-10-14T00:56:19Z,2020-11-18T01:53:24Z,text-correction;medium
2020-08-02T01:54:51Z,2025-06-16T17:23:41Z,question;minor
2020-07-04T00:50:10Z,2020-11-18T01:55:22Z,text-correction;medium
2020-06-18T01:40:19Z,2021-09-18T20:02:26Z,doc;question;minor
2020-03-02T08:58:28Z,2026-05-02T14:52:47Z,enhancement;markup;medium
2020-01-03T23:02:43Z,2023-12-15T15:07:58Z,doc;encoding;minor
2020-01-03T22:56:27Z,2023-12-15T15:07:23Z,doc;question;minor
2019-12-24T02:50:48Z,2026-05-18T15:39:13Z,enhancement;markup;minor
2019-12-22T05:43:34Z,2021-09-07T06:06:29Z,bug;minor
2019-12-21T02:30:39Z,2021-09-07T06:06:45Z,bug;minor
2019-12-20T19:29:15Z,2019-12-21T02:32:15Z,question;minor
2019-12-19T17:30:48Z,2019-12-22T05:42:30Z,bug;minor
2019-12-19T00:52:17Z,2019-12-22T05:40:30Z,text-correction;minor
2019-12-19T00:40:04Z,2019-12-20T01:03:02Z,bug;minor
2019-12-18T05:14:26Z,2019-12-18T15:32:01Z,bug;minor
2019-12-18T02:14:21Z,2019-12-22T05:46:10Z,doc;question;minor
2019-12-17T02:09:12Z,2019-12-22T05:46:41Z,doc;question;minor
