layer,layer_name,statistic,value_display,value_numeric,status,source_repo,source_url,as_of_date
L5,Roots & etymology,Whitney x DCS root audit,935-root hub audited,935,done,WhitneyRoots,https://github.com/gasyoun/WhitneyRoots,2026-07-12
L5,Roots & etymology,Corpus root-class verdicts,capped - unaccented DCS can't split class I/VI,,done,WhitneyRoots,https://github.com/gasyoun/WhitneyRoots,2026-07-12
L5,Roots & etymology,Affix entropy / frequency,computed,,done,csl-orig,https://github.com/sanskrit-lexicon/csl-orig/tree/main/v02,2026-07-12
L6,Repo-meta & process,Correction typology,empirical error taxonomy,,done,csl-observatory,https://github.com/sanskrit-lexicon/csl-observatory,2026-07-12
L6,Repo-meta & process,Bus-factor census (bus-factor-1 repos),65 of 76,65,done,csl-observatory,https://github.com/sanskrit-lexicon/csl-observatory,2026-07-12
L6,Repo-meta & process,Data footprint,27.5 GB / 1343 large files / 70% local-only,27500,done,Uprava,https://github.com/gasyoun/Uprava/blob/main/DATA_LAYERS_CENSUS.md,2026-07-12
L6,Repo-meta & process,Code-duplication census (transcoder x62 digentry x170),closed - re-run confirms baseline (H688),,done,csl-observatory,https://github.com/sanskrit-lexicon/csl-observatory/blob/main/reports,2026-07-13
L6,Repo-meta & process,Publication-pipeline health (readiness/handoff aging),dashboard exists not time-series,,partial,Uprava,https://github.com/gasyoun/Uprava/blob/main/ARTICLES.md,2026-07-12
L6,Repo-meta & process,LOC & language mix per repo,closed - already computed pre-roadmap (H688),,done,csl-observatory,https://github.com/sanskrit-lexicon/csl-observatory,2026-07-13
L7,Product & funnel,ORS-FAQ Telegram export messages,170017,170017,done,ORS-FAQ,https://github.com/gasyoun/ORS-FAQ/blob/main/docs/telegram_export_result_json_provenance.md,2026-07-12
L7,Product & funnel,telegram-sanskrit-corpus grade stats,tooling ready data 0 - no harvest run,0,partial,telegram-sanskrit-corpus,https://github.com/gasyoun/telegram-sanskrit-corpus/blob/main/docs/CORPUS_STATS.md,2026-07-12
L7,Product & funnel,Systema LMS enrollment / funnel,not started - gated on host DB creds,,not_started,Systema-Sanscriticum,https://github.com/gasyoun/SanskritLexicography/blob/master/ROADMAP_STATISTICS_ORG_CENSUS_2026_2027.md,2026-07-12
L7,Product & funnel,samskrte.ru marketing funnel,not started,,not_started,SanskritLexicography,https://github.com/gasyoun/SanskritLexicography/blob/master/ROADMAP_STATISTICS_ORG_CENSUS_2026_2027.md,2026-07-12
L7,Product & funnel,Course engagement / retention,not started,,not_started,SanskritLexicography,https://github.com/gasyoun/SanskritLexicography/blob/master/ROADMAP_STATISTICS_ORG_CENSUS_2026_2027.md,2026-07-12
