repo,login,contributions,type
KOW,dependabot[bot],1,Bot
KRM,gasyoun,33,User
KRM,funderburkjim,4,User
KRM,dependabot[bot],1,Bot
LRV,drdhaval2785,121,User
LRV,gasyoun,31,User
LRV,funderburkjim,2,User
LRV,dependabot[bot],1,Bot
MCI,gasyoun,29,User
MCI,dependabot[bot],1,Bot
MD,AnnaRybakovaT,36,User
MD,gasyoun,35,User
MD,funderburkjim,31,User
MD,dependabot[bot],5,Bot
MW72,gasyoun,23,User
MW72,funderburkjim,5,User
MW72,dependabot[bot],1,Bot
MWS,funderburkjim,224,User
MWS,gasyoun,217,User
MWS,drdhaval2785,43,User
MWS,Andhrabharati,39,User
MWS,dependabot[bot],7,Bot
MWS,AnnaRybakovaT,3,User
MWinflect,funderburkjim,82,User
MWinflect,gasyoun,32,User
MWinflect,dependabot[bot],1,Bot
PUI,drdhaval2785,72,User
PUI,gasyoun,17,User
PUI,dependabot[bot],1,Bot
PWG,funderburkjim,303,User
PWG,gasyoun,76,User
PWG,drdhaval2785,71,User
PWG,dependabot[bot],5,Bot
PWK,funderburkjim,201,User
PWK,drdhaval2785,44,User
PWK,gasyoun,42,User
PWK,AnnaRybakovaT,9,User
PWK,dependabot[bot],7,Bot
PWK,maltenth,1,User
SCH,gasyoun,35,User
SCH,funderburkjim,17,User
SCH,dependabot[bot],5,Bot
SHS,gasyoun,26,User
SHS,drdhaval2785,14,User
SHS,funderburkjim,2,User
SHS,dependabot[bot],1,Bot
SKD,funderburkjim,48,User
SKD,gasyoun,25,User
SKD,AnnaRybakovaT,1,User
SKD,dependabot[bot],1,Bot
STC,gasyoun,29,User
STC,funderburkjim,2,User
STC,dependabot[bot],1,Bot
VCP,drdhaval2785,66,User
VCP,gasyoun,47,User
VCP,funderburkjim,35,User
VCP,dependabot[bot],5,Bot
VEI,gasyoun,30,User
VEI,drdhaval2785,5,User
VEI,dependabot[bot],1,Bot
VEI,funderburkjim,1,User
WIL,funderburkjim,35,User
WIL,drdhaval2785,33,User
WIL,gasyoun,26,User
WIL,dependabot[bot],1,Bot
Wil-YAT,gasyoun,9,User
Wil-YAT,funderburkjim,6,User
Wil-YAT,dependabot[bot],1,Bot
alternateheadwords,drdhaval2785,93,User
alternateheadwords,funderburkjim,18,User
alternateheadwords,gasyoun,14,User
alternateheadwords,dependabot[bot],1,Bot
avlinks,gasyoun,13,User
avlinks,funderburkjim,7,User
avlinks,dependabot[bot],1,Bot
cologne-hugo,gasyoun,7,User
cologne-hugo,drdhaval2785,1,User
cologne-hugo,dependabot[bot],1,Bot
cologne-stardict,drdhaval2785,518,User
cologne-stardict,gasyoun,9,User
cologne-stardict,github-actions[bot],2,Bot
cologne-stardict,dependabot[bot],1,Bot
csl-apidev,funderburkjim,413,User
csl-apidev,gasyoun,96,User
csl-apidev,drdhaval2785,57,User
csl-apidev,actions-user,9,User
csl-apidev,dependabot[bot],6,Bot
csl-app,drdhaval2785,179,User
csl-app,gasyoun,26,User
csl-app,dependabot[bot],4,Bot
csl-corrections,funderburkjim,377,User
csl-corrections,drdhaval2785,367,User
csl-corrections,github-actions[bot],110,Bot
csl-corrections,gasyoun,88,User
csl-corrections,dependabot[bot],3,Bot
csl-devanagari,drdhaval2785,122,User
csl-devanagari,gasyoun,18,User
csl-devanagari,dependabot[bot],1,Bot
csl-devanagari,funderburkjim,1,User
csl-doc,funderburkjim,27,User
csl-doc,gasyoun,15,User
csl-doc,drdhaval2785,6,User
csl-doc,dependabot[bot],3,Bot
csl-homepage,funderburkjim,40,User
csl-homepage,drdhaval2785,24,User
csl-homepage,gasyoun,16,User
csl-inflect,funderburkjim,60,User
csl-inflect,gasyoun,23,User
csl-inflect,dependabot[bot],1,Bot
csl-json,drdhaval2785,92,User
csl-json,gasyoun,11,User
csl-json,dependabot[bot],1,Bot
csl-kale,gasyoun,13,User
csl-kale,funderburkjim,3,User
csl-kale,dependabot[bot],1,Bot
csl-ldev,drdhaval2785,62,User
csl-ldev,gasyoun,13,User
csl-ldev,vvasuki,1,User
csl-ldev,dependabot[bot],1,Bot
csl-ldev,sumanthegde,1,User
csl-lnum,drdhaval2785,51,User
csl-lnum,gasyoun,11,User
csl-lnum,vvasuki,1,User
csl-lnum,dependabot[bot],1,Bot
csl-lslink,gasyoun,15,User
csl-lslink,funderburkjim,13,User
csl-lslink,drdhaval2785,1,User
csl-lslink,dependabot[bot],1,Bot
csl-newsletter,drdhaval2785,32,User
csl-newsletter,gasyoun,23,User
csl-newsletter,funderburkjim,5,User
csl-newsletter,dependabot[bot],1,Bot
csl-observatory,gasyoun,433,User
csl-observatory,dependabot[bot],15,Bot
csl-observatory,github-actions[bot],4,Bot
csl-observatory,actions-user,3,User
csl-orig,funderburkjim,1229,User
csl-orig,drdhaval2785,874,User
csl-orig,gasyoun,75,User
csl-orig,aumsanskrit,17,User
csl-orig,AnnaRybakovaT,11,User
csl-orig,dependabot[bot],9,Bot
csl-orig,shenyileirob,8,User
csl-orig,YevgenJohn,1,User
csl-orig,adminlip,1,User
csl-pywork,funderburkjim,320,User
csl-pywork,drdhaval2785,145,User
csl-pywork,gasyoun,73,User
csl-pywork,dependabot[bot],6,Bot
csl-pywork,YevgenJohn,1,User
csl-sqlite,gasyoun,6,User
csl-sqlite,drdhaval2785,2,User
csl-sqlite,dependabot[bot],1,Bot
csl-websanlexicon,funderburkjim,361,User
csl-websanlexicon,gasyoun,62,User
csl-websanlexicon,drdhaval2785,61,User
csl-websanlexicon,vlastavesely,1,User
csl-westergaard,gasyoun,12,User
csl-westergaard,funderburkjim,2,User
csl-westergaard,dependabot[bot],1,Bot
csl-whitroot,gasyoun,8,User
csl-whitroot,funderburkjim,4,User
csl-whitroot,dependabot[bot],1,Bot
hwnorm1,funderburkjim,89,User
hwnorm1,drdhaval2785,68,User
hwnorm1,actions-user,23,User
hwnorm1,gasyoun,23,User
hwnorm1,dependabot[bot],1,Bot
hwnorm2,actions-user,22,User
hwnorm2,funderburkjim,15,User
hwnorm2,gasyoun,11,User
hwnorm2,drdhaval2785,6,User
hwnorm2,dependabot[bot],1,Bot
literarysource,drdhaval2785,25,User
literarysource,gasyoun,11,User
literarysource,dependabot[bot],1,Bot
mw-dev,gasyoun,20,User
mw-dev,Andhrabharati,18,User
mw-dev,funderburkjim,17,User
mw-dev,dependabot[bot],3,Bot
mw-dev,drdhaval2785,3,User
rvlinks,gasyoun,12,User
rvlinks,funderburkjim,9,User
rvlinks,Haqob,2,User
rvlinks,dependabot[bot],1,Bot
sanskrit-fonts,gasyoun,7,User
sanskrit-fonts,funderburkjim,2,User
sanskrit-fonts,dependabot[bot],1,Bot
sanskrit-lexicon.github.io,drdhaval2785,21,User
sanskrit-lexicon.github.io,gasyoun,17,User
sanskrit-lexicon.github.io,funderburkjim,17,User
sanskrit-lexicon.github.io,dependabot[bot],3,Bot
santamlegacy,gasyoun,3,User
santamlegacy,dependabot[bot],1,Bot
temp_corrections_acc,funderburkjim,19,User
temp_corrections_acc,gasyoun,3,User
temp_corrections_acc,dependabot[bot],1,Bot
temp_corrections_ae,funderburkjim,12,User
temp_corrections_ae,gasyoun,3,User
temp_corrections_ae,dependabot[bot],1,Bot
temp_corrections_ap90,funderburkjim,14,User
temp_corrections_ap90,gasyoun,6,User
temp_corrections_ap90,AnnaRybakovaT,3,User
temp_corrections_ap90,dependabot[bot],1,Bot
temp_corrections_mw,gasyoun,6,User
temp_corrections_mw,funderburkjim,6,User
temp_corrections_mw,dependabot[bot],1,Bot
test_cologne_push,gasyoun,3,User
test_cologne_push,funderburkjim,2,User
test_cologne_push,dependabot[bot],1,Bot
